ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  300  2.8438   0.25  1000.0  1.0000  1.000 2.454 3.376 3.624 3.608 3.300 2.911 2.526
  400  2.3497   0.25  1000.0  1.0000  1.000 2.431 3.235 3.355 3.108 2.686 2.180 1.690
  600  1.4037   0.25  1000.0  1.0000  1.000 2.328 2.789 2.593 2.062 1.492 1.013 0.632
  999  0.5034   0.25  1000.0  1.0000  1.000 1.916 1.870 1.233 0.704 0.338 0.154 0.062
07 W_H04 = water haze H(1/Deirm.) (n=1.335, gamma:  r-mode=0.4um / alpha=2)
  300  2.2995   1.00  1000.0  1.0000  1.000 2.433 3.625 4.104 4.645 5.020 5.409 5.802
  400  2.4743   1.00  1000.0  1.0000  1.000 2.341 3.475 3.863 4.330 4.589 4.878 5.125
  600  2.6719   1.00  1000.0  1.0000  1.000 2.325 3.334 3.624 3.896 3.939 3.968 3.964
  999  2.9565   1.00  1000.0  1.0000  1.000 2.434 3.393 3.685 3.709 3.528 3.213 2.903
08 W_C02 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=2.0um / alpha=6)
  300  2.1410   3.00  1000.0  1.0000  1.000 2.544 3.886 4.572 5.256 5.933 6.530 7.291
  400  2.1778   3.00  1000.0  1.0000  1.000 2.513 3.834 4.480 5.160 5.785 6.356 7.044
  600  2.2287   3.00  1000.0  1.0000  1.000 2.483 3.767 4.359 4.998 5.542 6.054 6.639
  999  2.3071   3.00  1000.0  1.0000  1.000 2.395 3.597 4.063 4.648 5.052 5.478 5.857
09 W_C04 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=4.0um / alpha=6)
  300  2.0835   6.00  1000.0  1.0000  1.000 2.596 3.973 4.725 5.406 6.129 6.751 7.607
  400  2.1064   6.00  1000.0  1.0000  1.000 2.571 3.936 4.660 5.345 6.056 6.670 7.492
  600  2.1345   6.00  1000.0  1.0000  1.000 2.557 3.902 4.596 5.263 5.923 6.507 7.267
  999  2.1922   6.00  1000.0  1.0000  1.000 2.499 3.799 4.418 5.081 5.667 6.213 6.851
