ATAU   250     1.120     0.010  CLOUD-top sub-layers: max#, factor, min dtau
NW-SCATTER   56  ! Scattering phase fns, scale extinct @ 999 nm    (mjp 99/07)
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
  600  2.1674  5.674  2200.0  1.0000  1.000 2.372 3.544 3.872 4.823 5.158 6.119 6.644
 1000  2.2422  5.674  2200.0  0.9901  1.000 2.331 3.466 3.770 4.632 4.916 5.701 6.153
51 SSc50(rvm) Sea Salt (coarse), RH=50 (n@400=1.38 log-norm: r=2.8um/sigma=2.0)
  300  2.0767  9.024  2200.0  0.9998  1.000 2.547 3.870 4.492 5.262 5.886 6.637 7.545
  400  2.0932  9.024  2200.0  1.0000  1.000 2.543 3.867 4.496 5.245 5.870 6.583 7.456
  600  2.1231  9.024  2200.0  1.0000  1.000 2.525 3.836 4.449 5.182 5.783 6.455 7.262
 1000  2.1768  9.024  2200.0  0.9962  1.000 2.490 3.773 4.351 5.052 5.603 6.206 6.899
52 SSc70(rvm) Sea Salt (coarse), RH=70 (n@400=1.37 log-norm: r=3.2um/sigma=2.0)
  300  2.0710 10.107  2200.0  0.9999  1.000 2.563 3.901 4.555 5.300 5.955 6.677 7.597
  400  2.0863 10.107  2200.0  1.0000  1.000 2.560 3.900 4.564 5.290 5.949 6.635 7.519
  600  2.1139 10.107  2200.0  1.0000  1.000 2.544 3.873 4.524 5.237 5.875 6.526 7.347
 1000  2.1631 10.107  2200.0  0.9969  1.000 2.512 3.816 4.433 5.122 5.713 6.307 7.022
53 SSc80(rvm) Sea Salt (coarse), RH=80 (n@400=1.36 log-norm: r=3.5um/sigma=2.0)
  300  2.0671 10.879  2200.0  0.9999  1.000 2.573 3.920 4.597 5.326 6.002 6.706 7.631
  400  2.0815 10.879  2200.0  1.0000  1.000 2.571 3.921 4.609 5.322 6.001 6.673 7.562
  600  2.1075 10.879  2200.0  1.0000  1.000 2.557 3.898 4.575 5.276 5.937 6.577 7.406
 1000  2.1534 10.879  2200.0  0.9974  1.000 2.526 3.844 4.488 5.170 5.786 6.377 7.106
54 SSc90(rvm) Sea Salt (coarse), RH=90 (n@400=1.35 log-norm: r=4.2um/sigma=2.0)
  300  2.0604 12.372  2200.0  0.9999  1.000 2.586 3.946 4.651 5.363 6.063 6.750 7.681
  400  2.0734 12.372  2200.0  1.0000  1.000 2.586 3.950 4.668 5.366 6.072 6.729 7.626
  600  2.0967 12.372  2200.0  1.0000  1.000 2.574 3.932 4.642 5.332 6.023 6.653 7.496
 1000  2.1377 12.372  2200.0  0.9981  1.000 2.548 3.886 4.569 5.244 5.898 6.487 7.240
55 SSc95(rvm) Sea Salt (coarse), RH=95 (n@400=1.34 log-norm: r=5.1um/sigma=2.0)
  300  2.0542 14.057  2200.0  0.9999  1.000 2.597 3.967 4.694 5.395 6.113 6.788 7.724
  400  2.0658 14.057  2200.0  1.0000  1.000 2.598 3.973 4.716 5.405 6.130 6.778 7.681
  600  2.0866 14.057  2200.0  1.0000  1.000 2.589 3.960 4.699 5.380 6.096 6.720 7.574
 1000  2.1230 14.057  2200.0  0.9986  1.000 2.564 3.918 4.629 5.303 5.983 6.576 7.354
56 SSc99(rvm) Sea Salt (coarse), RH=99 (n@400=1.34 log-norm: r=8.6um/sigma=2.0)
  300  2.0431 18.159  2200.0  1.0000  1.000 2.611 3.992 4.743 5.433 6.171 6.839 7.788
  400  2.0523 18.159  2200.0  1.0000  1.000 2.614 4.002 4.773 5.454 6.201 6.846 7.764
  600  2.0688 18.159  2200.0  1.0000  1.000 2.609 3.997 4.770 5.447 6.190 6.816 7.695
 1000  2.0973 18.159  2200.0  0.9991  1.000 2.591 3.968 4.725 5.397 6.120 6.724 7.545
