Cloud-J v7.5+ NEW extended cloud scattering and absorption for 12:18 (old FJ) & 19:27 (+RRTM)
  03 = liquid-water Mie, ice-water irregular&warm, ice-water hexagonal&cold
  06 = number of effective radii (microns)
Use bin#12 for bins#1:#11 (very little light in trop)
water clouds use std Mie with liquid-water refr index & C1/Deirmenjian gamma distrib: alfa=6, Reff given, rho=1.00
ice   clouds use Mie with ice-water refr index to get PI0, Q, rho = 0.917
           scattering uses Mishchenko 8-term phase fn for all sizes with cold (hexag) & warm (irreg)
FJ# Weff Reff  Geff  NReal NImag   Q-ext PI0=ssa P1:P7
Liquid Water 1.00000
14 0.310 24.0 1251. 1.348 1.4E-08 2.034 0.99999 2.623 4.013 4.787 5.479 6.236 6.911 7.879
14 0.310 48.0 5004. 1.348 1.4E-08 2.022 0.99998 2.639 4.048 4.859 5.577 6.371 7.080 8.089

15 0.316  1.5   4.9 1.347 1.3E-08 2.238 1.00000 2.454 3.715 4.266 4.935 5.433 5.966 6.534
15 0.316  3.0  19.5 1.347 1.3E-08 2.141 1.00000 2.539 3.867 4.522 5.212 5.837 6.446 7.205
15 0.316  6.0  78.2 1.347 1.3E-08 2.086 1.00000 2.582 3.944 4.660 5.355 6.053 6.696 7.564
15 0.316 12.0 312.8 1.347 1.3E-08 2.055 0.99999 2.606 3.986 4.736 5.428 6.161 6.821 7.748
15 0.316 24.0 1251. 1.347 1.3E-08 2.035 0.99999 2.623 4.014 4.789 5.481 6.238 6.911 7.877
15 0.316 48.0 5004. 1.347 1.3E-08 2.022 0.99998 2.640 4.048 4.860 5.576 6.369 7.075 8.081

16 0.333  1.5   4.9 1.345 9.5E-09 2.258 1.00000 2.451 3.713 4.254 4.912 5.419 5.941 6.493
16 0.333  3.0  19.5 1.345 9.5E-09 2.148 1.00000 2.531 3.856 4.505 5.195 5.824 6.428 7.178
16 0.333  6.0  78.2 1.345 9.5E-09 2.087 1.00000 2.580 3.941 4.658 5.353 6.052 6.691 7.551
16 0.333 12.0 312.8 1.345 9.5E-09 2.057 1.00000 2.606 3.986 4.740 5.429 6.167 6.822 7.744
16 0.333 24.0 1251. 1.345 9.5E-09 2.036 0.99999 2.623 4.016 4.794 5.483 6.242 6.911 7.870
16 0.333 48.0 5004. 1.345 9.5E-09 2.023 0.99998 2.640 4.048 4.861 5.571 6.363 7.061 8.059

17 0.383  1.5   4.9 1.340 3.4E-09 2.247 1.00000 2.442 3.689 4.222 4.876 5.323 5.811 6.287
17 0.383  3.0  19.5 1.340 3.4E-09 2.148 1.00000 2.535 3.855 4.510 5.184 5.798 6.374 7.089
17 0.383  6.0  78.2 1.340 3.4E-09 2.095 1.00000 2.584 3.947 4.672 5.355 6.047 6.667 7.502
17 0.383 12.0 312.8 1.340 3.4E-09 2.062 1.00000 2.608 3.992 4.754 5.438 6.172 6.813 7.715
17 0.383 24.0 1251. 1.340 3.4E-09 2.039 1.00000 2.626 4.022 4.810 5.493 6.254 6.910 7.854
17 0.383 48.0 5004. 1.340 3.4E-09 2.025 1.00000 2.641 4.051 4.868 5.567 6.357 7.039 8.018

18 0.599  1.5   4.9 1.333 3.1E-08 2.359 1.00000 2.306 3.447 3.817 4.382 4.726 5.096 5.431
18 0.599  3.0  19.5 1.333 3.1E-08 2.220 1.00000 2.484 3.769 4.368 5.015 5.560 6.069 6.650
18 0.599  6.0  78.2 1.333 3.1E-08 2.136 1.00000 2.551 3.896 4.590 5.263 5.944 6.532 7.294
18 0.599 12.0 312.8 1.333 3.1E-08 2.089 0.99999 2.588 3.965 4.715 5.397 6.141 6.763 7.622
18 0.599 24.0 1251. 1.333 3.1E-08 2.053 0.99999 2.621 4.017 4.808 5.484 6.248 6.884 7.794
18 0.599 48.0 5004. 1.333 3.1E-08 2.033 0.99997 2.639 4.047 4.864 5.544 6.324 6.976 7.918

19 0.973  1.5   4.9 1.328 2.8E-06 2.754 0.99996 2.346 3.352 3.652 3.874 3.907 3.900 3.868
19 0.973  3.0  19.5 1.328 2.8E-06 2.336 0.99989 2.377 3.592 4.064 4.692 5.109 5.563 5.944
19 0.973  6.0  78.2 1.328 2.8E-06 2.203 0.99979 2.510 3.824 4.463 5.128 5.722 6.266 6.891
19 0.973 12.0 312.8 1.328 2.8E-06 2.118 0.99960 2.574 3.938 4.669 5.341 6.045 6.637 7.424
19 0.973 24.0 1251. 1.328 2.8E-06 2.074 0.99921 2.610 4.001 4.784 5.458 6.213 6.832 7.701
19 0.973 48.0 5004. 1.328 2.8E-06 2.047 0.99848 2.633 4.040 4.855 5.529 6.304 6.938 7.848

20 1.270  1.5   4.9 1.324 1.2E-05 3.151 0.99988 2.452 3.481 3.878 4.037 3.970 3.769 3.524
20 1.270  3.0  19.5 1.324 1.2E-05 2.381 0.99967 2.328 3.452 3.826 4.302 4.604 4.929 5.207
20 1.270  6.0  78.2 1.324 1.2E-05 2.234 0.99924 2.482 3.771 4.378 5.013 5.560 6.053 6.598
20 1.270 12.0 312.8 1.324 1.2E-05 2.144 0.99863 2.556 3.908 4.619 5.292 5.964 6.539 7.265
20 1.270 24.0 1251. 1.324 1.2E-05 2.088 0.99748 2.604 3.993 4.773 5.447 6.189 6.797 7.630
20 1.270 48.0 5004. 1.324 1.2E-05 2.055 0.99521 2.632 4.040 4.861 5.537 6.312 6.941 7.832

21 1.448  1.5   4.9 1.321 1.6E-04 3.232 0.99863 2.493 3.528 3.949 4.072 3.944 3.655 3.308
21 1.448  3.0  19.5 1.321 1.6E-04 2.450 0.99625 2.319 3.394 3.727 4.107 4.323 4.552 4.744
21 1.448  6.0  78.2 1.321 1.6E-04 2.255 0.99219 2.471 3.749 4.345 4.974 5.503 5.980 6.482
21 1.448 12.0 312.8 1.321 1.6E-04 2.155 0.98513 2.562 3.912 4.636 5.306 5.984 6.555 7.270
21 1.448 24.0 1251. 1.321 1.6E-04 2.096 0.97194 2.617 4.011 4.821 5.520 6.285 6.919 7.760
21 1.448 48.0 5004. 1.321 1.6E-04 2.060 0.94738 2.658 4.081 4.962 5.698 6.525 7.222 8.150

22 1.767  1.5   4.9 1.313 3.2E-04 3.056 0.99763 2.528 3.537 3.925 3.943 3.682 3.250 2.764
22 1.767  3.0  19.5 1.313 3.2E-04 2.669 0.99436 2.369 3.410 3.760 4.016 4.101 4.150 4.164
22 1.767  6.0  78.2 1.313 3.2E-04 2.288 0.98705 2.441 3.692 4.256 4.862 5.342 5.787 6.212
22 1.767 12.0 312.8 1.313 3.2E-04 2.179 0.97517 2.557 3.902 4.630 5.298 5.961 6.514 7.176
22 1.767 24.0 1251. 1.313 3.2E-04 2.110 0.95435 2.624 4.024 4.861 5.575 6.354 6.995 7.816
22 1.767 48.0 5004. 1.313 3.2E-04 2.069 0.91589 2.676 4.116 5.048 5.826 6.689 7.425 8.362

23 2.039  1.5   4.9 1.302 9.2E-04 2.673 0.99354 2.534 3.492 3.803 3.705 3.321 2.791 2.235
23 2.039  3.0  19.5 1.302 9.2E-04 2.918 0.98772 2.459 3.531 3.982 4.219 4.261 4.200 4.082
23 2.039  6.0  78.2 1.302 9.2E-04 2.320 0.96956 2.425 3.645 4.189 4.753 5.207 5.629 6.003
23 2.039 12.0 312.8 1.302 9.2E-04 2.197 0.94268 2.575 3.929 4.701 5.389 6.070 6.634 7.273
23 2.039 24.0 1251. 1.302 9.2E-04 2.122 0.89729 2.659 4.084 5.005 5.789 6.629 7.340 8.187
23 2.039 48.0 5004. 1.302 9.2E-04 2.076 0.82350 2.730 4.223 5.301 6.228 7.220 8.118 9.154

24 2.309  1.5   4.9 1.283 6.7E-04 2.158 0.99499 2.529 3.423 3.635 3.414 2.918 2.323 1.741
24 2.309  3.0  19.5 1.283 6.7E-04 3.128 0.99275 2.554 3.695 4.274 4.545 4.578 4.447 4.222
24 2.309  6.0  78.2 1.283 6.7E-04 2.363 0.98069 2.423 3.606 4.129 4.583 4.939 5.264 5.531
24 2.309 12.0 312.8 1.283 6.7E-04 2.220 0.96102 2.564 3.922 4.698 5.361 6.021 6.543 7.096
24 2.309 24.0 1251. 1.283 6.7E-04 2.135 0.92940 2.650 4.079 4.996 5.734 6.541 7.184 7.937
24 2.309 48.0 5004. 1.283 6.7E-04 2.083 0.87458 2.715 4.200 5.245 6.088 7.009 7.795 8.706

25 2.748  1.5   4.9 1.239 1.0E-01 1.568 0.51332 2.544 3.317 3.360 2.939 2.303 1.658 1.107
25 2.748  3.0  19.5 1.239 1.0E-01 2.401 0.56642 2.770 4.128 5.040 5.553 5.726 5.625 5.316
25 2.748  6.0  78.2 1.239 1.0E-01 2.382 0.51617 2.855 4.483 5.868 7.037 8.010 8.805 9.432
25 2.748 12.0 312.8 1.239 1.0E-01 2.211 0.49792 2.911 4.723 6.424 8.023 9.52710.93612.249
25 2.748 24.0 1251. 1.239 1.0E-01 2.132 0.51085 2.929 4.801 6.610 8.36610.07511.73413.344
25 2.748 48.0 5004. 1.239 1.0E-01 2.084 0.52037 2.934 4.825 6.674 8.49410.29112.06413.814

26 3.404  1.5   4.9 1.428 5.1E-02 2.224 0.77993 2.286 2.671 2.365 1.787 1.192 0.724 0.399
26 3.404  3.0  19.5 1.428 5.1E-02 3.033 0.72838 2.463 3.352 3.691 3.735 3.559 3.222 2.834
26 3.404  6.0  78.2 1.428 5.1E-02 2.451 0.57018 2.602 3.885 4.854 5.729 6.424 6.986 7.387
26 3.404 12.0 312.8 1.428 5.1E-02 2.268 0.52403 2.817 4.493 6.024 7.459 8.777 9.99211.092
26 3.404 24.0 1251. 1.428 5.1E-02 2.166 0.52444 2.868 4.670 6.394 8.059 9.66711.21712.709
26 3.404 48.0 5004. 1.428 5.1E-02 2.105 0.53301 2.878 4.713 6.498 8.252 9.97811.67513.344

27 5.362  1.5   4.9 1.317 2.2E-02 0.631 0.79791 1.942 1.813 1.119 0.568 0.231 0.084 0.026
27 5.362  3.0  19.5 1.317 2.2E-02 2.056 0.86757 2.468 3.195 3.207 2.814 2.220 1.618 1.097
27 5.362  6.0  78.2 1.317 2.2E-02 3.043 0.83511 2.579 3.674 4.235 4.474 4.463 4.276 3.988
27 5.362 12.0 312.8 1.317 2.2E-02 2.409 0.68090 2.583 3.824 4.644 5.381 5.998 6.565 7.044
27 5.362 24.0 1251. 1.317 2.2E-02 2.236 0.57882 2.798 4.402 5.797 7.130 8.382 9.57510.692
27 5.362 48.0 5004. 1.317 2.2E-02 2.145 0.53338 2.891 4.692 6.405 8.071 9.69811.28712.834

Ice-Irrg/wrm 0.91700
12 0.295  3.0  19.5 1.336 5.8E-09 2.129 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295  6.0  78.2 1.336 5.8E-09 2.083 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 12.0 312.8 1.336 5.8E-09 2.052 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 24.0 1251. 1.336 5.8E-09 2.033 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 48.0 5004. 1.336 5.8E-09 2.021 0.99999 2.257 3.164 4.096 5.088 6.018 6.897 7.794
12 0.295 95.519927. 1.336 5.8E-09 2.013 0.99998 2.257 3.164 4.096 5.088 6.018 6.897 7.794

13 0.303  3.0  19.5 1.333 5.4E-09 2.145 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
13 0.303  6.0  78.2 1.333 5.4E-09 2.088 1.00000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
