(fort10_06b) UCI J-v8.4 (4/06) JPL02+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
           4.544E-19 4.748E-19 3.376E-20 1.042E-19 1.171E-19 1.052E-19
           1.493E-19 1.885E-19 2.281E-19 3.455E-19 4.612E-19 3.691E-22
NO3    297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.266E-19
NO3    298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 8.266E-19
N2O5   225 0.000E+00 0.000E+00 7.943E-19 6.872E-19 7.111E-18 6.566E-18
           5.183E-18 3.985E-18 2.695E-19 2.794E-19 2.822E-19 3.823E-20
           1.998E-20 1.170E-20 7.246E-21 2.286E-21 1.173E-22 0.000E+00
N2O5   300 0.000E+00 0.000E+00 7.943E-19 6.872E-19 7.111E-18 6.566E-18
           5.183E-18 3.985E-18 2.695E-19 2.843E-19 2.968E-19 5.404E-20
           3.317E-20 2.226E-20 1.551E-20 6.389E-21 5.481E-22 0.000E+00
HNO2   297 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.175E-20 3.470E-20 1.093E-19 8.764E-20 0.000E+00
HNO2   298 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 1.175E-20 3.470E-20 1.093E-19 8.764E-20 0.000E+00
HNO3   200 7.671E-18 1.061E-17 1.043E-17 8.241E-18 3.790E-18 1.301E-18
           6.914E-19 5.036E-19 1.629E-20 1.796E-20 1.854E-20 3.396E-21
           1.377E-21 5.474E-22 2.100E-22 2.131E-23 8.822E-26 0.000E+00
HNO3   300 7.781E-18 1.091E-17 1.090E-17 9.123E-18 4.474E-18 1.565E-18
           8.458E-19 5.886E-19 1.875E-20 2.165E-20 2.305E-20 4.384E-21
           1.923E-21 8.345E-22 3.586E-22 4.720E-23 2.683E-25 0.000E+00
HNO4   297 3.105E-18 6.120E-18 6.954E-18 7.486E-18 4.751E-18 2.866E-18
           2.220E-18 1.840E-18 2.806E-19 2.208E-19 1.538E-19 2.601E-20
           1.103E-20 5.239E-21 2.793E-21 2.250E-22 0.000E+00 4.792E-23
